Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Wang J., Gu E., Betke M.",MosaicShape: Stochastic region grouping with shape prior,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467362,902,908,,5,10.1109/CVPR.2005.231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745128772&doi=10.1109%2fCVPR.2005.231&partnerID=40&md5=1afcbc54c4009fa8368e2a5b3c63370f,"Computer Science Department, Boston University, MA 02215, United States; Computer and Information Science Department, University of Pennsylvania, PA 19104, United States","Wang, J., Computer Science Department, Boston University, MA 02215, United States; Gu, E., Computer and Information Science Department, University of Pennsylvania, PA 19104, United States; Betke, M., Computer Science Department, Boston University, MA 02215, United States",Conference Paper,Scopus,2-s2.0-33745128772
"Zhao T., Aggarwal M., Kumar R., Sawhney H.",Real-time wide area multi-camera stereo tracking,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467372,976,983,,49,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745174545&partnerID=40&md5=8b719f12a3bea83755e480191239a86b,"Sarnoff Corporation, 201 Washington Road, Princeton, NJ 08543, United States","Zhao, T., Sarnoff Corporation, 201 Washington Road, Princeton, NJ 08543, United States; Aggarwal, M., Sarnoff Corporation, 201 Washington Road, Princeton, NJ 08543, United States; Kumar, R., Sarnoff Corporation, 201 Washington Road, Princeton, NJ 08543, United States; Sawhney, H., Sarnoff Corporation, 201 Washington Road, Princeton, NJ 08543, United States",Conference Paper,Scopus,2-s2.0-33745174545
"Lim S.-N., Mittal A., Davis L.S., Paragios N.","Fast illumination-invariant background subtraction using two views: Error analysis, sensor placement and applications",2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467385,1071,1078,,17,10.1109/CVPR.2005.155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745132438&doi=10.1109%2fCVPR.2005.155&partnerID=40&md5=248157017e9872ff5c2485733ac14b7e,"CS Dept., University of Maryland, College Park, United States; Siemens Corporate Research, Princeton, NJ, United States; Ecole Nationale des Ponts et Chaussees, France","Lim, S.-N., CS Dept., University of Maryland, College Park, United States; Mittal, A., Siemens Corporate Research, Princeton, NJ, United States; Davis, L.S., CS Dept., University of Maryland, College Park, United States; Paragios, N., Ecole Nationale des Ponts et Chaussees, France",Conference Paper,Scopus,2-s2.0-33745132438
"Chandraker M.K., Kahl F., Kriegman D.J.",Reflections on the generalized bas-relief ambiguity,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467348,788,795,,28,10.1109/CVPR.2005.299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745135810&doi=10.1109%2fCVPR.2005.299&partnerID=40&md5=24e8fc7c396f66c7c61b2da129e154e9,"Department of Computer Science and Engineering, University of California, San Diego, United States","Chandraker, M.K., Department of Computer Science and Engineering, University of California, San Diego, United States; Kahl, F., Department of Computer Science and Engineering, University of California, San Diego, United States; Kriegman, D.J., Department of Computer Science and Engineering, University of California, San Diego, United States",Conference Paper,Scopus,2-s2.0-33745135810
"Liu L., Stamos I.",Automatic 3D to 2D registration for the photorealistic rendering of urban scenes,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",II,,1467433,137,143,,25,10.1109/CVPR.2005.80,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24644452671&doi=10.1109%2fCVPR.2005.80&partnerID=40&md5=537377185ea726f8a2551fc1646e736b,"Department of Computer Science, Hunter College, City University of New York, New York, NY 10021, United States","Liu, L., Department of Computer Science, Hunter College, City University of New York, New York, NY 10021, United States; Stamos, I., Department of Computer Science, Hunter College, City University of New York, New York, NY 10021, United States",Conference Paper,Scopus,2-s2.0-24644452671
"Smith K., Gatica-Perez D., Odobez J.-M.",Using particles to track varying numbers of interacting people,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467370,962,969,,105,10.1109/CVPR.2005.361,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745143978&doi=10.1109%2fCVPR.2005.361&partnerID=40&md5=549fecd2e00d96e37865b143b9f994a7,"IDIAP Research Institute, Martigny, Switzerland","Smith, K., IDIAP Research Institute, Martigny, Switzerland; Gatica-Perez, D., IDIAP Research Institute, Martigny, Switzerland; Odobez, J.-M., IDIAP Research Institute, Martigny, Switzerland",Conference Paper,Scopus,2-s2.0-33745143978
"Matt Steele R., Jaynes C.",Feature uncertainty arising from covariant image noise,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467384,1063,1070,,4,10.1109/CVPR.2005.158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745124396&doi=10.1109%2fCVPR.2005.158&partnerID=40&md5=7cae65c0048f9317b655441b3a9b7e19,"Dept. of Computer Science, University of Kentucky, United States","Matt Steele, R., Dept. of Computer Science, University of Kentucky, United States; Jaynes, C., Dept. of Computer Science, University of Kentucky, United States",Conference Paper,Scopus,2-s2.0-33745124396
"Makadia A., Geyer C., Sastry S., Daniilidis K.",Radon-based structure from motion without correspondences,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467349,796,805,,9,10.1109/CVPR.2005.285,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745179900&doi=10.1109%2fCVPR.2005.285&partnerID=40&md5=c50feeee46f77ec54e4ca7085f7aa95d,"University of Pennsylvania, Philadelphia, PA 19104, United States; University of California, Berkeley, Berkeley, CA 94720, United States","Makadia, A., University of Pennsylvania, Philadelphia, PA 19104, United States; Geyer, C., University of California, Berkeley, Berkeley, CA 94720, United States; Sastry, S., University of California, Berkeley, Berkeley, CA 94720, United States; Daniilidis, K., University of Pennsylvania, Philadelphia, PA 19104, United States",Conference Paper,Scopus,2-s2.0-33745179900
"Gupta M.D., Rajaram S., Petrovic N., Huang T.S.",Restoration and recognition in a loop,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",I,,1467328,638,644,,7,10.1109/CVPR.2005.302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645138307&doi=10.1109%2fCVPR.2005.302&partnerID=40&md5=899be9d3aa34cbfb39bdf675368c664e,"Beckman Institute, University of Illinois, Urbana, IL 61801, United States; Siemens Corporate Research, Princeton, NJ 08540, United States","Gupta, M.D., Beckman Institute, University of Illinois, Urbana, IL 61801, United States; Rajaram, S., Beckman Institute, University of Illinois, Urbana, IL 61801, United States; Petrovic, N., Siemens Corporate Research, Princeton, NJ 08540, United States; Huang, T.S., Beckman Institute, University of Illinois, Urbana, IL 61801, United States",Conference Paper,Scopus,2-s2.0-33645138307
"Fei-Fei L., Perona P.",A bayesian hierarchical model for learning natural scene categories,2005,"Proceedings - 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2005",II,,1467486,524,531,,726,10.1109/CVPR.2005.16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745155436&doi=10.1109%2fCVPR.2005.16&partnerID=40&md5=7974ac7fb4332fd7d5702d4f6c2f9b8a,"California Institute of Technology, Electrical Engineering Dept., Pasadena, CA 91125, United States","Fei-Fei, L., California Institute of Technology, Electrical Engineering Dept., Pasadena, CA 91125, United States; Perona, P., California Institute of Technology, Electrical Engineering Dept., Pasadena, CA 91125, United States",Conference Paper,Scopus,2-s2.0-33745155436
