Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Vera-Rodriguez R., Fierrez J., Ortega-Garcia J.",Dynamic signatures as forensic evidence: A new expert tool including population statistics,2017,Advances in Computer Vision and Pattern Recognition,,,,329,349,,,10.1007/978-3-319-50673-9_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014122272&doi=10.1007%2f978-3-319-50673-9_15&partnerID=40&md5=6984255358f41a90d6b8cd5d3469fb94,"ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain","Vera-Rodriguez, R., ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain; Fierrez, J., ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain; Ortega-Garcia, J., ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain",Book Chapter,Scopus,2-s2.0-85014122272
"Ramos D., Krish R.P., Fierrez J., Meuwly D.",From biometric scores to forensic likelihood ratios,2017,Advances in Computer Vision and Pattern Recognition,,,,305,327,,,10.1007/978-3-319-50673-9_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014092027&doi=10.1007%2f978-3-319-50673-9_14&partnerID=40&md5=229cd14b78a39136ea7b057bb9b1140f,"ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain; Netherlands Forensic Institute, Laan van Ypenburg 6, The Hague, Netherlands; University of Twente, Drienerlolaan 5, Enschede, Netherlands","Ramos, D., ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain; Krish, R.P., ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain; Fierrez, J., ATVS - Biometric Recognition Group, Escuela Politecnica Superior, Universidad Autonoma de Madrid, Calle Francisco Tomas y Valiente 11, Madrid, Spain; Meuwly, D., Netherlands Forensic Institute, Laan van Ypenburg 6, The Hague, Netherlands, University of Twente, Drienerlolaan 5, Enschede, Netherlands",Book Chapter,Scopus,2-s2.0-85014092027
"Drahanský M., Kanich O., Březinová E.","Challenges for fingerprint recognition—Spoofing, skin diseases, and environmental effects: Is fingerprint recognition really so reliable and secure?",2017,Advances in Computer Vision and Pattern Recognition,,,,63,83,,,10.1007/978-3-319-50673-9_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014095981&doi=10.1007%2f978-3-319-50673-9_4&partnerID=40&md5=cf66223be48ae139fb9a55b8d3680ac9,"Brno University of Technology, Faculty of Information Technology, Brno, Czech Republic; 1st Department of Dermatovenereology, St. Anne’s University Hospital, Faculty of Medicine & Masaryk University, Brno, Czech Republic","Drahanský, M., Brno University of Technology, Faculty of Information Technology, Brno, Czech Republic; Kanich, O., Brno University of Technology, Faculty of Information Technology, Brno, Czech Republic; Březinová, E., 1st Department of Dermatovenereology, St. Anne’s University Hospital, Faculty of Medicine & Masaryk University, Brno, Czech Republic",Book Chapter,Scopus,2-s2.0-85014095981
"Nasrollahi K., Haque M.A., Irani R., Moeslund T.B.",Contact-free heartbeat signal for human identification and forensics,2017,Advances in Computer Vision and Pattern Recognition,,,,289,302,,,10.1007/978-3-319-50673-9_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014116964&doi=10.1007%2f978-3-319-50673-9_13&partnerID=40&md5=070fae2fe91076215e7888ffd5f7eebc,"Visual Analysis of People (VAP) Laboratory, Aalborg University, Aalborg, Denmark","Nasrollahi, K., Visual Analysis of People (VAP) Laboratory, Aalborg University, Aalborg, Denmark; Haque, M.A., Visual Analysis of People (VAP) Laboratory, Aalborg University, Aalborg, Denmark; Irani, R., Visual Analysis of People (VAP) Laboratory, Aalborg University, Aalborg, Denmark; Moeslund, T.B., Visual Analysis of People (VAP) Laboratory, Aalborg University, Aalborg, Denmark",Book Chapter,Scopus,2-s2.0-85014116964
"Wei X., Li C.-T.",Face recognition technologies for evidential evaluation of video traces,2017,Advances in Computer Vision and Pattern Recognition,,,,177,193,,,10.1007/978-3-319-50673-9_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014086327&doi=10.1007%2f978-3-319-50673-9_8&partnerID=40&md5=4144697309f613e82252851b4490939a,"School of Computing Science, Newcastle University, Newcastle upon Tyne, United Kingdom; Department of Computer Science, University of Warwick, Coventry, United Kingdom","Wei, X., School of Computing Science, Newcastle University, Newcastle upon Tyne, United Kingdom; Li, C.-T., Department of Computer Science, University of Warwick, Coventry, United Kingdom",Book Chapter,Scopus,2-s2.0-85014086327
"Maltoni D., Cappelli R., Meuwly D.",Automated fingerprint identification systems: From fingerprints to fingermarks,2017,Advances in Computer Vision and Pattern Recognition,,,,37,61,,,10.1007/978-3-319-50673-9_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014082053&doi=10.1007%2f978-3-319-50673-9_3&partnerID=40&md5=851b5232d37daf4f4cb6287e8cb0cc8b,"Ingegneria e Scienze Informatiche, Università di Bologna, Via Sacchi 3, Cesena, Forlì-Cesena, Italy; Services, Cybersecurity and Safety, Netherlands Forensic Institute, University of Twente, Drienerlolaan 5, Enschede, Netherlands","Maltoni, D., Ingegneria e Scienze Informatiche, Università di Bologna, Via Sacchi 3, Cesena, Forlì-Cesena, Italy; Cappelli, R., Ingegneria e Scienze Informatiche, Università di Bologna, Via Sacchi 3, Cesena, Forlì-Cesena, Italy; Meuwly, D., Services, Cybersecurity and Safety, Netherlands Forensic Institute, University of Twente, Drienerlolaan 5, Enschede, Netherlands",Book Chapter,Scopus,2-s2.0-85014082053
"Champod C., Tistarelli M.",Biometric technologies for forensic science and policing: State of the art,2017,Advances in Computer Vision and Pattern Recognition,,,,1,15,,,10.1007/978-3-319-50673-9_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014126341&doi=10.1007%2f978-3-319-50673-9_1&partnerID=40&md5=b5ac0aae52e693b5ebf993c25d50d4ab,"School of Criminal Justice, University of Lausanne, Lausanne, Switzerland; PolComIng, Computer Vision Laboratory, University of Sassari, Viale Mancini 5, Sassari, Italy","Champod, C., School of Criminal Justice, University of Lausanne, Lausanne, Switzerland; Tistarelli, M., PolComIng, Computer Vision Laboratory, University of Sassari, Viale Mancini 5, Sassari, Italy",Book Chapter,Scopus,2-s2.0-85014126341
"White D., Norell K., Jonathon Phillips P., O’Toole A.J.",Human factors in forensic face identification,2017,Advances in Computer Vision and Pattern Recognition,,,,195,218,,,10.1007/978-3-319-50673-9_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014092615&doi=10.1007%2f978-3-319-50673-9_9&partnerID=40&md5=e96ec1068a6f18b5958b98a6ed96c10c,"University of New South Wales, Sydney, Australia; Swedish National Forensic Centre, Linköping, Sweden; National Institute of Standards and Technology, Gaithersburg, United States; The University of Texas at Dallas, Richardson, United States","White, D., University of New South Wales, Sydney, Australia; Norell, K., Swedish National Forensic Centre, Linköping, Sweden; Jonathon Phillips, P., National Institute of Standards and Technology, Gaithersburg, United States; O’Toole, A.J., The University of Texas at Dallas, Richardson, United States",Book Chapter,Scopus,2-s2.0-85014092615
Mordini E.,Ethics and policy of forensic biometrics,2017,Advances in Computer Vision and Pattern Recognition,,,,353,365,,,10.1007/978-3-319-50673-9_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014063816&doi=10.1007%2f978-3-319-50673-9_16&partnerID=40&md5=43f08d33a087a2bd69671a7639c313a6,"Responsible Technology SAS, 12 rue de Ia Chaussee d’Antin, Paris, France","Mordini, E., Responsible Technology SAS, 12 rue de Ia Chaussee d’Antin, Paris, France",Book Chapter,Scopus,2-s2.0-85014063816
"Drygajlo A., Haraksim R.",Biometric evidence in forensic automatic speaker recognition,2017,Advances in Computer Vision and Pattern Recognition,,,,221,239,,,10.1007/978-3-319-50673-9_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014097097&doi=10.1007%2f978-3-319-50673-9_10&partnerID=40&md5=0d6c316cc4374ae7cb61c8bffc374b6b,"Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland","Drygajlo, A., Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland; Haraksim, R., Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland",Book Chapter,Scopus,2-s2.0-85014097097
